id,partyName,constituencySeats,partyListSeats,totalSeats,totalPartyListVotes,totalConstituencyVotes,color
37,พรรคภูมิใจไทย,174,19,193,5954535,9973228,#131c5f
46,พรรคประชาชน,87,31,118,9777951,7841837,#ff6412
9,พรรคเพื่อไทย,58,16,74,5147600,5776100,#fe0000
42,พรรคกล้าธรรม,56,2,58,605936,3843453,#44a26e
27,พรรคประชาธิปัตย์,10,12,22,3651026,2009435,#70c0fd
21,พรรคไทรวมพลัง,5,1,6,152414,341328,#2a0b73
33,พรรคประชาชาติ,4,1,5,401527,288759,#ba810e
43,พรรคพลังประชารัฐ,4,1,5,129951,462974,#096735
11,พรรคเศรษฐกิจ,0,3,3,1045452,365434,#febd2f
48,พรรคไทยสร้างไทย,1,1,2,185456,136262,#7c26df
2,พรรคเพื่อชาติไทย,0,2,2,628493,459,#ffe724
6,พรรครวมไทยสร้างชาติ,0,2,2,705035,292480,#243180
10,พรรคทางเลือกใหม่,0,1,1,156704,18921,#006aee
1,พรรคไทยทรัพย์ทวี,0,1,1,284761,2440,#e41d24
29,พรรคไทยภักดี,0,1,1,226040,30692,#36b54c
8,พรรคประชาธิปไตยใหม่,0,1,1,237672,20951,#ee5e17
4,พรรคมิติใหม่,0,1,1,230170,1205,#02137d
5,พรรครวมใจไทย,0,1,1,403671,2638,#e10717
13,พรรครวมพลังประชาชน,0,1,1,182255,1701,#2d348e
12,พรรคเสรีรวมไทย,0,1,1,170156,15224,#eac33b
3,พรรคใหม่,0,1,1,294239,653,#101e41
44,พรรคโอกาสใหม่,1,0,1,74748,175516,#f3717b
39,พรรคกรีน,0,0,0,22187,996,#309b4b
22,พรรคก้าวอิสระ,0,0,0,16398,3742,#6a59a7
32,พรรคครูไทยเพื่อประชาชน,0,0,0,52246,152,#e3620d
26,พรรคคลองไทย,0,0,0,33892,338,#0059b6
54,พรรคความหวังใหม่,0,0,0,8769,176,#ffdd00
52,พรรคเครือข่ายชาวนาแห่งประเทศไทย,0,0,0,8359,458,#01237d
14,พรรคท้องที่ไทย,0,0,0,44567,1515,#008c44
28,พรรคไทยก้าวหน้า,0,0,0,46691,1705,#34398b
49,พรรคไทยก้าวใหม่,0,0,0,99227,98473,#f6ec4c
17,พรรคไทยชนะ,0,0,0,48695,1316,#ffd801
40,พรรคไทยธรรม,0,0,0,20517,1492,#662e92
36,พรรคไทยพร้อม,0,0,0,56396,5548,#27c500
53,พรรคไทยพิทักษ์ธรรม,0,0,0,5225,1416,#1f2587
55,พรรคไทยรวมไทย,0,0,0,7553,94,#0101fb
31,พรรคประชากรไทย,0,0,0,65666,20645,#0641e7
47,พรรคประชาไทย,0,0,0,57052,420,#292679
50,พรรคประชาอาสาชาติ,0,0,0,5301,135,#00fd02
23,พรรคปวงชนไทย,0,0,0,26447,45824,#293f8b
45,พรรคเป็นธรรม,0,0,0,32114,6740,#0c4da1
41,พรรคแผ่นดินธรรม,0,0,0,12624,139,#f2cc47
51,พรรคพร้อม,0,0,0,16053,784,#fe0000
7,พรรคพลวัต,0,0,0,108235,29943,#0ac107
57,พรรคพลังไทยรักชาติ,0,0,0,20799,1452,#66ca32
38,พรรคพลังธรรมใหม่,0,0,0,83941,50,#303c90
16,พรรคพลังเพื่อไทย,0,0,0,66966,280,#2e2f94
18,พรรคพลังสังคมใหม่,0,0,0,10842,496,#a51d33
25,พรรคเพื่อชีวิตใหม่,0,0,0,13068,320,#ea2227
56,พรรคเพื่อบ้านเมือง,0,0,0,23127,10606,#2df928
20,พรรคฟิวชัน,0,0,0,12264,1848,#15603f
59,พรรครวมพลัง,0,0,0,0,0,#000000
35,พรรครักชาติ,0,0,0,63609,15138,#04685b
58,พรรครักษ์ธรรม,0,0,0,0,0,#000000
30,พรรคแรงงานสร้างชาติ,0,0,0,50778,7814,#66398e
24,พรรควิชชั่นใหม่,0,0,0,40467,9217,#f80406
34,พรรคสร้างอนาคตไทย,0,0,0,55764,215,#225faf
19,พรรคสังคมประชาธิปไตยไทย,0,0,0,18357,786,#fe0000
60,พรรคสัมมาธิปไตย,0,0,0,0,0,#000000
15,พรรคอนาคตไทย,0,0,0,27660,2146,#cf222a
